"gene","HR","L95CI","H95CI","pvalue"
"ENSG00000239198.1","0.790012905738618","0.648712480858846","0.96209092571687","0.0190606905184027"
"ENSG00000237425.1","0.875635333705048","0.775336818620483","0.988908586847412","0.0323823773685231"
"ENSG00000231313.2","1.21277876358974","1.01993883182015","1.44207895956806","0.0290054606450198"
"ENSG00000254012.1","0.803236858981363","0.651477031568125","0.990348731210454","0.0402928154235596"
"ENSG00000235962.5","0.823016370186657","0.680185955171254","0.995839358995111","0.0451949569399739"
"ENSG00000230568.1","0.803291921280011","0.653384729779325","0.98759257966079","0.0376694067560612"
"ENSG00000233839.1","0.845500307488894","0.715589950436869","0.99899498243007","0.0486349820799469"
"ENSG00000250144.1","0.764507893937967","0.59080108931947","0.989287816931256","0.0411654912616875"
"ENSG00000261557.1","0.760275369375632","0.594188252273876","0.972787050345166","0.0293055843627102"
"ENSG00000212695.5","0.843471456996213","0.713568414412172","0.997022968503156","0.0460533914220903"
"ENSG00000220744.1","0.806947873467844","0.663922927095725","0.980783828844022","0.0311700922576695"
"ENSG00000241061.3","0.795804449763914","0.634897776182661","0.997490849742469","0.0475058438248889"
"ENSG00000226945.1","0.795429083836171","0.647801058112366","0.976700206782779","0.028886088533233"
"ENSG00000166530.8","0.905057228859273","0.842630952600515","0.972108352989461","0.00622415983130849"
"ENSG00000242411.2","0.802455115295231","0.663923322660921","0.969892441016646","0.0228382594928869"
"ENSG00000233565.1","0.914405225121038","0.836406344156649","0.999677873763303","0.0491778688288973"
"ENSG00000237709.1","0.741151933659563","0.572172019156229","0.960036790294919","0.0232761936695382"
"ENSG00000251593.1","1.23873366057599","1.05069984778883","1.46041810615394","0.0108111293806966"
"ENSG00000242667.1","0.824717616082097","0.684366974410917","0.993851503225441","0.0428917138871366"
"ENSG00000232888.4","0.798475409780272","0.644269436839396","0.989590602266464","0.0398270611599924"
"ENSG00000214199.3","0.756929094874323","0.587245041433157","0.975643239607459","0.0315262393532485"
"ENSG00000253676.1","1.19310262796798","1.01133538073655","1.407538891626","0.0362935450999728"
"ENSG00000237757.2","0.720017251663737","0.555749751882472","0.932838639940652","0.0129129222506362"
"ENSG00000243830.2","0.814779717651948","0.67222833343023","0.987560260826004","0.0368398303508136"
"ENSG00000188856.6","0.773905832298386","0.640205113886797","0.935528667725329","0.00808120151734794"
"ENSG00000214561.3","0.85592663625593","0.768160025315321","0.953721077000413","0.00482640416904936"
"ENSG00000196205.8","0.778054786580147","0.611065653750067","0.990677920130463","0.0417557997692724"
"ENSG00000213862.4","0.788835345936181","0.630548897805872","0.986856380470322","0.0379172524312667"
"ENSG00000105991.7","1.11686489362453","1.00796246609691","1.23753337308395","0.0347313981686486"
"ENSG00000241741.1","0.791069574742829","0.631748669628313","0.990569671404267","0.0410980251863892"
"ENSG00000240489.1","0.725093480050898","0.534976165694653","0.982773791669082","0.0382687528831618"
"ENSG00000237186.1","0.914163475529796","0.852396555274025","0.980406191017583","0.0119247715095417"
"ENSG00000213885.3","0.785282484256639","0.634275060161372","0.972241569648642","0.0265329625773536"
"ENSG00000229914.1","0.867022175049233","0.771429040200583","0.97446091973883","0.0166649966815787"
"ENSG00000239198.1","0.790012905738618","0.648712480858846","0.96209092571687","0.0190606905184027"
"ENSG00000237425.1","0.875635333705048","0.775336818620483","0.988908586847412","0.0323823773685231"
"ENSG00000231313.2","1.21277876358974","1.01993883182015","1.44207895956806","0.0290054606450198"
"ENSG00000254012.1","0.803236858981363","0.651477031568125","0.990348731210454","0.0402928154235596"
